createur,voie,commanditaire,page_annonceuse,debut_diffusion,plateformes,ad_id,extrait,page_facebook
@philippinejaillet,pseudo ecrit tel quel,CNIEL,Laitflix,2026-03-16,instagram,2548664262194648,"Avant-dernier épisode de la série « CHAUD! », et la pression monte d’un cran. Cette fois, la brigade prend ses quartiers dans une résidence senior à Villeurbanne avec la cheffe @philippinejaillet pour cuisiner 70 desserts. ",https://www.facebook.com/926009000591791
La Brigade,compte connu du registre,CNIEL,Laitflix,2026-03-16,instagram,2548664262194648,"Avant-dernier épisode de la série « CHAUD! », et la pression monte d’un cran. Cette fois, la brigade prend ses quartiers dans une résidence senior à Villeurbanne avec la cheffe @philippinejaillet pour cuisiner 70 desserts. ",https://www.facebook.com/926009000591791
@jeffreycagnes,pseudo ecrit tel quel,CNIEL,Laitflix,2026-02-26,instagram,937741255388033,C’est au tour de @jeffreycagnes de challenger la brigade CHAUD! Le chef pâtissier débarque à Saint-Etienne pour cuisiner un dessert avec les cinq élèves dans une laiterie. ,https://www.facebook.com/926009000591791
La Brigade,compte connu du registre,CNIEL,Laitflix,2026-02-26,instagram,937741255388033,C’est au tour de @jeffreycagnes de challenger la brigade CHAUD! Le chef pâtissier débarque à Saint-Etienne pour cuisiner un dessert avec les cinq élèves dans une laiterie. ,https://www.facebook.com/926009000591791
@osanchaise.,pseudo ecrit tel quel,CNIEL,Laitflix,2026-02-26,instagram,923406680150615,"Dans ce troisième épisode de la série CHAUD!, la brigade se rend à la laiterie Sainte-Colombe avec le chef @osanchaise. Le défi : decouvrir la fabrication du Saint-Marcellin puis cuisiner au milieu de la laiterie. ",https://www.facebook.com/926009000591791
La Brigade,compte connu du registre,CNIEL,Laitflix,2026-02-26,instagram,923406680150615,"Dans ce troisième épisode de la série CHAUD!, la brigade se rend à la laiterie Sainte-Colombe avec le chef @osanchaise. Le défi : decouvrir la fabrication du Saint-Marcellin puis cuisiner au milieu de la laiterie. ",https://www.facebook.com/926009000591791
@osanchaise.,pseudo ecrit tel quel,CNIEL,Laitflix,2026-02-18,instagram,1456257615894935,"Dans ce troisième épisode de la série CHAUD!, la brigade se rend à la laiterie Sainte-Colombe avec le chef @osanchaise. Le défi : decouvrir la fabrication du Saint-Marcellin puis cuisiner au milieu de la laiterie. ",https://www.facebook.com/926009000591791
La Brigade,compte connu du registre,CNIEL,Laitflix,2026-02-18,instagram,1456257615894935,"Dans ce troisième épisode de la série CHAUD!, la brigade se rend à la laiterie Sainte-Colombe avec le chef @osanchaise. Le défi : decouvrir la fabrication du Saint-Marcellin puis cuisiner au milieu de la laiterie. ",https://www.facebook.com/926009000591791
@jorickdorignac,pseudo ecrit tel quel,CNIEL,Laitflix,2026-02-13,instagram,2328039861012418,Le chef @jorickdorignac se rend sur la ferme de Bruno en Isère. Le défi : apprendre à traire les vaches puis cuisiner au milieu de la ferme un riz au lait.  L’épisode 2 de la série CHAUD! est disponible sur la chaine YouTube Les Produits Laitiers. ,https://www.facebook.com/926009000591791
Produits Laitiers,compte connu du registre,CNIEL,Laitflix,2026-02-13,instagram,2328039861012418,Le chef @jorickdorignac se rend sur la ferme de Bruno en Isère. Le défi : apprendre à traire les vaches puis cuisiner au milieu de la ferme un riz au lait.  L’épisode 2 de la série CHAUD! est disponible sur la chaine YouTube Les Produits Laitiers. ,https://www.facebook.com/926009000591791
@jorickdorignac,pseudo ecrit tel quel,CNIEL,Laitflix,2026-02-11,instagram,4441024596135081,Le chef @jorickdorignac se rend sur la ferme de Bruno en Isère. Le défi : apprendre à traire les vaches puis cuisiner au milieu de la ferme un riz au lait.  L’épisode 2 de la série CHAUD! est disponible sur la chaine YouTube Les Produits Laitiers. ,https://www.facebook.com/926009000591791
Produits Laitiers,compte connu du registre,CNIEL,Laitflix,2026-02-11,instagram,4441024596135081,Le chef @jorickdorignac se rend sur la ferme de Bruno en Isère. Le défi : apprendre à traire les vaches puis cuisiner au milieu de la ferme un riz au lait.  L’épisode 2 de la série CHAUD! est disponible sur la chaine YouTube Les Produits Laitiers. ,https://www.facebook.com/926009000591791
La Volaille Française,compte connu du registre,ANVOL,La Volaille Française,2026-08-09,facebook,1074809905416472,"Quand on veut manger simplement, sans y passer trop de temps, la Volaille Française est la meilleure solution ! 😍  Facile à cuisiner, facile à décliner, elle offre une multitude de possibilités en cuisine, pour varier les recettes selon les envies.  Retrouvez toutes les inspirations recettes ici : h",https://www.facebook.com/1620384037978108
La Volaille Française,compte connu du registre,ANVOL,La Volaille Française,2026-07-17,facebook,3425274594345237,"L’été, on privilégie les moments simples et des produits en lesquels on a confiance 🇫🇷  Choisir la Volaille Française pour vos barbecues, c’est faire le choix : ✅ D’une origine française garantie ✅ D’une traçabilité claire, de l’élevage à l’assiette ✅ D’engagements portés par toute une filière  De q",https://www.facebook.com/1620384037978108
La Volaille Française,compte connu du registre,ANVOL,La Volaille Française,2026-07-08,facebook,1658569515248210,"Grâce à son apport en protéines, la Volaille Française contribue à des repas nourrissants et équilibrés.  Une façon simple de bien manger, tout en continuant à se faire plaisir 😋 ",https://www.facebook.com/1620384037978108
La Volaille Française,compte connu du registre,ANVOL,La Volaille Française,2026-06-25,facebook,1695708865081957,"Quand il fait chaud, on a surtout envie de recettes simples et rapides. Et ça tombe bien : la volaille est idéale pour les repas d’été ! ☀️  🥗 En salade, elle se prépare en quelques minutes 🔥 À la plancha ou au barbecue, elle plaît à tous et se décline à l’infini 🧺 En pique-nique, elle est facile à ",https://www.facebook.com/1620384037978108
La Volaille Française,compte connu du registre,ANVOL,La Volaille Française,2026-06-22,facebook,1531480748467627,Fête de la Musique : place aux recettes faciles à emporter ! 🎶  On vous donne quelques inspirations gourmandes et rapides  :   🥖 Sandwich à la Volaille Française 🍞 Focaccia à la Pintade 🌯 Shawarma de Dinde 🥪 Toast campagnard Poulet  A emporter partout et à savourer jusqu’à la dernière note ! 😍 ,https://www.facebook.com/1620384037978108
